,acc,std_acc,kappa,kappa_std,auc,std_auc
1,0.793,0.02,0.724,0.026,0.954,0.008
2,0.602,0.032,0.469,0.043,0.821,0.019
3,0.87,0.017,0.826,0.022,0.978,0.005
4,0.7,0.039,0.6,0.052,0.913,0.017
5,0.602,0.036,0.469,0.047,0.833,0.023
6,0.57,0.02,0.427,0.027,0.818,0.038
7,0.922,0.027,0.896,0.036,0.991,0.005
8,0.841,0.031,0.788,0.042,0.966,0.015
9,0.844,0.03,0.791,0.04,0.971,0.007
