,acc,std_acc,kappa,kappa_std,auc,std_auc
1,0.859,0.017,0.813,0.022,0.974,0.006
2,0.593,0.062,0.457,0.083,0.837,0.034
3,0.919,0.009,0.892,0.012,0.99,0.004
4,0.641,0.052,0.521,0.07,0.886,0.021
5,0.652,0.054,0.536,0.073,0.883,0.027
6,0.57,0.054,0.426,0.072,0.81,0.029
7,0.916,0.027,0.888,0.036,0.989,0.007
8,0.852,0.022,0.803,0.029,0.973,0.009
9,0.875,0.023,0.834,0.031,0.982,0.002
