,acc,std_acc,kappa,kappa_std,auc,std_auc
1,0.697,0.097,0.596,0.129,0.915,0.056
2,0.268,0.042,0.024,0.055,0.501,0.034
3,0.769,0.066,0.691,0.088,0.95,0.02
4,0.492,0.038,0.322,0.051,0.773,0.032
5,0.267,0.035,0.022,0.046,0.524,0.025
6,0.225,0.03,-0.035,0.041,0.531,0.032
7,0.705,0.069,0.607,0.092,0.929,0.024
8,0.794,0.028,0.726,0.038,0.949,0.012
9,0.774,0.052,0.699,0.069,0.955,0.021
